Boss;Reward;Functionalities
2;Dobor=Dobor+1,RedCard;LastTurn=LastTurn-1
3;Money=Money+2,GainDropCard;LevelRounds=LevelRounds+1
4;GuaranteeRedStart=2;Goal=Goal*1.3
5;LastTurn=LastTurn+2,SilverCard;Self.hand=Self.hand-1
6;hand=hand+1,SilverCard;ArkwrightStealShares
7;;OddTurnTradingOnly
8;FreeShop;
9;UpDownPlus4;NoPrice2Buys
10;StartCPlus2;OneRedOneGainDropPerTurn
11;LifecycleSlotPlus1;BlockCardTurnExtensions
12;RandomGoldCard;TwoMarketSlots
13;SayRandomReward;SevenTurnSeconds
14;ShopOfferPlus1;HalfRoundNapoleondors
