Card;Type;Open;Variable
1;1;1;100
2;1;1;100
3;1;1;100
4;1;1;100
11;1;1;100
12;1;1;100
13;1;1;100
14;1;1;100
15;1;1;100
16;1;1;100
17;1;0;10
18;1;0;10
20;1;1;35
21;1;1;30
100;2;1;100
110;2;1;100
111;2;1;100
112;2;1;100
113;2;1;50
114;2;1;50
115;2;1;50
116;2;1;100
117;2;0;40
118;2;1;60
119;2;1;40
120;2;1;30
121;2;1;10
122;2;1;2
123;2;1;40
124;2;1;10
125;2;1;20
126;2;1;20
201;3;1;100
202;3;1;100
203;3;1;60
204;3;1;20
205;3;1;25
206;3;1;100
207;3;1;20
208;3;1;60
209;3;1;20
210;3;1;20
214;3;1;20
215;3;1;15
217;3;1;50
218;3;1;10
219;3;1;5
220;3;1;35
301;4;1;100
302;4;1;100
303;4;1;100
401;5;1;35
402;5;1;10
403;5;1;10
404;5;1;10
405;5;1;25
406;5;1;50
407;5;1;25
408;5;1;15
409;5;1;35
410;5;1;5
411;5;1;35
412;5;1;20
413;5;1;30
414;5;1;3
415;5;1;20
416;5;1;10
417;5;1;20
418;5;1;5
419;5;1;20
420;5;1;10
421;5;1;35
